date,GLD,SLV,USO,BNO,UNG,DBA,DBB,CPER,PPLT
2023-01-30,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666665
2023-01-31,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666665
2023-02-01,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-02,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-03,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-06,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-07,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-08,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-09,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-10,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-13,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-14,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-15,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-16,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-17,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-21,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-22,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-23,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-24,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-27,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-02-28,0.14472351565585947,0.09702993524642362,0.0,0.0,0.0,0.0,0.18390227454309643,0.1617185471519764,0.1038673707927898
2023-03-01,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-02,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-03,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-06,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-07,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-08,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-09,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-10,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-13,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-14,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-15,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-16,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-17,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-20,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-21,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-22,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-23,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-24,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-27,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-28,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-29,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-30,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-03-31,0.175,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175
2023-04-03,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-04,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-05,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-06,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-10,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-11,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-12,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-13,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-14,0.15780301942966196,0.0951553201460642,0.0,0.0,0.0,0.25,0.1542008919325536,0.15126473382010955,0.0970416604242738
2023-04-17,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-18,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-19,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-20,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-21,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-24,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-25,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-26,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-27,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-04-28,0.1584776174273439,0.09612519439518141,0.0,0.0,0.0,0.25,0.16777088324963765,0.15655077326730238,0.09539718817747464
2023-05-01,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-02,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-03,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-04,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-05,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-08,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-09,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-10,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-11,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-12,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-15,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-16,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-17,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-18,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-19,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-22,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-23,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-24,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-25,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-26,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-30,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-05-31,0.15933092498629733,0.10009647591316859,0.0,0.0,0.0,0.25,0.0,0.2008285192750553,0.09057259910053404
2023-06-01,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-02,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-05,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-06,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-07,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-08,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-09,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-12,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-13,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-14,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-15,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-16,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-20,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-21,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-22,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-23,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-26,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-27,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-28,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-29,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-06-30,0.11666666666666665,0.11666666666666665,0.0,0.0,0.0,0.25,0.0,0.0,0.11666666666666665
2023-07-03,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-05,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-06,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-07,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-10,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-11,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-12,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-13,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-14,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-17,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-18,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-19,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-20,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-21,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-24,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-26,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-27,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-28,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-07-31,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2023-08-01,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-02,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-03,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-04,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-07,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-08,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-09,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-10,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-11,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-14,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-15,0.20408089733037116,0.1459191026696288,0.15926266742622103,0.16198578774715638,0.0,0.25,0.0,0.0,0.0
2023-08-16,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-17,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-18,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-21,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-22,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-23,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-24,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-25,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-28,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-29,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-30,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-08-31,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-09-01,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-05,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-06,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-07,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-08,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-11,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-12,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-13,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-14,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-15,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-18,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-19,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-20,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-21,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-22,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-25,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-26,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-27,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-28,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-09-29,0.2109817278564206,0.1390182721435794,0.16735280218205917,0.1679193401546157,0.0,0.25,0.0,0.0,0.0
2023-10-02,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-03,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-04,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-05,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-06,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-09,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-10,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-11,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-12,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-13,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-16,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-17,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-18,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-19,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-20,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-23,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-24,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-25,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-26,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-27,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-30,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-10-31,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-02,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-03,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-06,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-07,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-08,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-09,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-10,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-13,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-14,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-15,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-16,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-17,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-20,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-21,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-22,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-24,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-27,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-28,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-29,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-11-30,0.0,0.0,0.175,0.175,0.0,0.25,0.0,0.0,0.0
2023-12-01,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-04,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-05,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-06,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-07,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-08,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-11,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-12,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-13,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-14,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-15,0.20715677655125234,0.11788058113452868,0.0,0.08396266824141471,0.0,0.23468778773323434,0.1789291021293198,0.1710708978706801,0.0
2023-12-18,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-19,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-20,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-21,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-22,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-26,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-27,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-28,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2023-12-29,0.175,0.175,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2024-01-02,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-03,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-04,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-05,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-08,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-09,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-10,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-11,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-12,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-16,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-17,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
2024-01-18,0.2101093702905071,0.0,0.0,0.0,0.0,0.25,0.18765980332269291,0.16234019667730706,0.13347014087057768
